"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","gir","hole_proximity","x_of_attempts","putts_round","scramble","sg_putt","sg_t2g","sg_total","sg_approach","sg_tee","sg_ar","par4_sa","par3_sa","par5_sa","covered_tee","left_rough","right_rough","fair_bunk","gir_fair","gir_not_fair","prox_fair","prox_rough","go_for_green","sand_save","prox_arg","putt_25","putt15_25","putt10_15","putt_10","finround_sa"
"1",2022,"Justin Thomas","1",5,NA,69.617,35,21.82,57.14,311.1,72.4,"16,359.083",480,27.84,69.18,0.044,1.757,1.8,0.903,0.546,0.306,3.87,2.95,4.41,64.58,11.41,16.18,7.2,81.25,61.98,"26' 2""","45' 6""",31.03,68.29,"6' 6""",9.41,12.9,28.4,87.55,68.75
"2",2022,"Talor Gooch","2",4,1,70.082,54,18,60.5,303,70.81,"28,135.500",768,28.31,61.94,0.093,0.986,1.078,0.632,-0.168,0.521,3.97,2.93,4.44,63.09,11.15,16.31,6.2,78.94,57.8,"30' 10""","48' 11""",26.13,57.47,"6' 11""",5.49,15.91,28.04,88.24,69.18
"3",2022,"Seamus Power","3",4,NA,70.19,51,23.33,64.5,298.9,72.83,"21,284.417",585,28.72,65.33,0.355,0.225,0.58,0.011,0.246,-0.032,3.93,3.07,4.42,63.98,11.71,11.71,5.2,83.65,59.83,"31' 8""","45' 9""",27.96,54.69,"7' 5""",8.51,15.27,28.74,89.21,68.67
"4",2022,"Xander Schauffele","4",1,NA,70.297,33,24.14,61.06,308.8,69.63,"16,089.750",444,28.4,64.63,0.215,1.067,1.282,0.418,0.411,0.238,3.94,2.98,4.51,63.9,11.78,14.94,7.5,79.13,58.02,"31' 0""","41' 11""",28.05,70.27,"6' 5""",2.78,16.88,36.62,88.21,68.29
"5",2022,"Collin Morikawa","5",5,NA,70.026,26,19.15,66.78,302.4,72.22,"11,065.833",320,28.27,61.82,0.424,0.937,1.361,0.609,0.614,-0.287,3.91,2.98,4.45,63.27,12.35,11.95,4.4,83.74,56.44,"28' 1""","54' 3""",29.31,40,"7' 10""",2.9,21.67,37.29,88.05,66.2
"6",2022,"Hideki Matsuyama","T6",4,2,70.122,41,28.92,60.45,305.9,71.95,"22,758.083",643,28.8,64.25,-0.204,1.167,0.962,0.717,0.229,0.22,3.95,2.98,4.41,64.31,11.05,15.98,8.5,83.29,56.39,"29' 4""","44' 0""",25,53.62,"7' 3""",4.83,14.29,27.87,89.52,68
"7",2022,"Joaquin Niemann","T6",3,1,69.95,37,22.22,55.32,303.9,69.28,"15,309.250",429,28.21,63.3,-0.106,1.416,1.31,0.543,0.358,0.514,3.97,2.96,4.52,64.68,13.86,19.28,8.1,77.31,60.95,"28' 9""","43' 4""",18.46,60.87,"6' 4""",3.53,21.84,22.86,88.3,69.14
"8",2022,"Billy Horschel","8",3,NA,69.895,34,25,66.04,294.8,71.3,"17,235.083",444,28.6,63.87,0.68,0.713,1.394,-0.009,0.403,0.32,3.96,2.99,4.45,63.31,10.45,12.15,8.8,82.14,54.86,"34' 5""","49' 5""",30.16,51.28,"7' 4""",5.65,15.56,36.92,89.59,69.43
"9",2022,"Russell Henley","9",2,NA,69.651,47,26.04,65.85,297.6,71.72,"23,277.750",662,28.36,61.16,0.194,1.376,1.571,1.105,-0.074,0.345,3.94,2.96,4.48,62.6,12.45,11.87,4.1,82.63,56.46,"31' 6""","41' 4""",22.47,45.31,"7' 4""",7.05,17.39,31.93,88.08,68.82
"10",2022,"Sungjae Im","10",4,1,70.187,47,31.17,63.47,302.3,71.34,"27,252.333",734,28.55,70.04,0.331,1.116,1.447,0.101,0.524,0.49,3.93,3.03,4.46,63.87,12.74,15.53,5.9,80.82,59.11,"31' 6""","47' 3""",24.6,57.97,"6' 6""",5.56,16.3,36.19,89.26,68.7
"11",2022,"Patrick Cantlay","11",4,NA,69.949,25,21.95,60.77,304.4,68.43,"12,498.000",321,27.59,68,0.535,0.779,1.314,-0.177,0.5,0.455,3.93,2.99,4.29,65.73,15.81,13.83,6.3,80.42,56.56,"31' 10""","49' 9""",27.94,52,"6' 9""",6.15,23.64,15.69,91.1,68.8
"12",2022,"Scottie Scheffler","12",6,3,69.87,49,27.08,57.19,308.9,71.56,"22,561.417",601,28.52,58.14,0.588,0.944,1.532,0.495,0.141,0.308,3.94,3.03,4.46,64.58,14.23,16.14,8.3,85.63,56.4,"30' 4""","44' 4""",22.12,51.85,"6' 7""",6.38,20.69,37.36,88.2,69
"13",2022,"Louis Oosthuizen","13",NA,NA,70.379,28,22.03,67.05,299.9,69.78,"15,569.417",444,28.8,61.76,-0.008,0.748,0.741,-0.147,0.519,0.376,3.91,3.1,4.62,63.27,10.12,10.4,8.1,80.6,57.89,"30' 9""","39' 10""",32.76,62.79,"7' 4""",4.76,17.89,33.9,86.77,70.5
"14",2022,"Daniel Berger","14",2,NA,69.942,21,33.33,67.58,290.1,69.44,"11,311.167",302,28.28,75.76,0.328,1.374,1.702,0.577,0.303,0.494,3.91,2.97,4.56,61.74,4.55,17.36,7,78.03,55.42,"33' 2""","46' 10""",20.83,81.25,"6' 7""",4.11,16.13,37.5,88.71,71
"15",2022,"Cameron Smith","15",4,2,69.274,26,28.85,54.95,297,72.65,"16,217.750",447,27.73,63.28,1.048,1,2.048,0.809,-0.206,0.396,3.88,2.96,4.35,64.32,19.36,14.16,4.3,86.5,57.93,"29' 11""","41' 11""",25,60.87,"7' 5""",9.62,10.96,35.14,91.78,67
"16",2022,"Webb Simpson","16",1,NA,70.609,27,16.67,61.75,298.3,68.52,"14,260.583",408,27.92,61.76,0.278,0.317,0.595,0.131,-0.178,0.364,3.94,3.02,4.54,62.76,14.87,13.61,7,79.51,53.54,"30' 2""","43' 9""",18.87,54.29,"6' 3""",5.62,17.81,28.95,90.07,68.8
"17",2022,"Sam Burns","17",5,2,70.079,38,19.44,60.23,308.1,71.64,"24,137.000",660,28.45,63.92,0.385,1.098,1.483,0.724,0.157,0.218,3.95,2.96,4.47,64.16,12.11,14.45,6.8,83.02,56.19,"30' 4""","49' 11""",25.89,44.23,"7' 4""",7.14,17.97,27.66,89.04,69.63
"18",2022,"Marc Leishman","18",3,NA,70.313,41,27.85,56.95,305.3,69.3,"25,018.083",659,28.18,64.29,0.571,0.582,1.153,0.353,0.072,0.157,3.98,2.91,4.49,63.66,11.28,20.82,5.4,80.53,52.84,"30' 8""","49' 6""",23.36,54.1,"7' 9""",7.5,16.07,36.54,88.76,68.78
"19",2022,"Viktor Hovland","19",4,1,70.213,37,19.44,64.29,306.2,71.9,"18,817.167",537,28.74,64.53,0.282,0.77,1.052,1.019,0.588,-0.838,3.93,2.99,4.47,64.6,10.58,14.42,5.5,80.39,54.71,"29' 5""","40' 11""",31.78,35.29,"8' 0""",3.2,18.92,35.87,88.05,69.13
